name,tweet,is_real
Billie Eilish,i’m fine. just floating in a hoodie-shaped cloud of existential dread.,FALSE
Ryan Reynolds,I watched Frozen without my two-year-old this morning. Despair reveals itself in many forms.,TRUE
Billie Eilish,people really be like “you’ve changed” like that’s not the whole point,FALSE
Billie Eilish,people really be like “you’ve changed” like that’s not the whole point,FALSE
Elon Musk,Nuke Mars!,TRUE
Kanye West,Have you ever thought you were in love with someone but then realized you were just staring in a mirror for 20 minutes?,TRUE
Taylor Swift,"sometimes healing doesn’t look like peace — it looks like late nights, old journals, and finally telling your side of the story
",FALSE
Conan O'Brien,"My son asked me where babies come from, and to distract him I said ""some day we're all going to die.""",TRUE
Taylor Swift,No one talks about how satisfying it is to alphabetize your vinyl.,FALSE
Conan O'Brien,"""I wonder if Taco Bell has a breakfast menu because I'm craving a Chalupa at 8 AM.""",TRUE
"Tyler, the Creator","""My therapist told me to stop tweeting and start journaling but now my journal is a Twitter thread""",TRUE
Ryan Reynolds,I watched Frozen without my two-year-old this morning. Despair reveals itself in many forms.,TRUE
Taylor Swift,Some mornings are for sad songs and earl grey tea.,FALSE
Ariana Grande,currently floating somewhere between a nap and a love song,FALSE
Taylor Swift,Some mornings are for sad songs and earl grey tea.,FALSE
Conan O'Brien,"""I wonder if Taco Bell has a breakfast menu because I'm craving a Chalupa at 8 AM.""",TRUE
Ariana Grande,got lost in a melody and forgot to respond to 12 texts... sorry ily,FALSE
Billie Eilish,"insomnia and overthinking are besties. and apparently, so are we.",FALSE
Ryan Reynolds,last night i had cereal with milk for the first time. life changing.,TRUE
Billie Eilish,i’m fine. just floating in a hoodie-shaped cloud of existential dread.,FALSE
Elon Musk,I’m not saying aliens built the pyramids… but they did.,FALSE
Ryan Reynolds,last night i had cereal with milk for the first time. life changing.,TRUE
"Tyler, the Creator","""My therapist told me to stop tweeting and start journaling but now my journal is a Twitter thread""",TRUE
Ariana Grande,got lost in a melody and forgot to respond to 12 texts... sorry ily,FALSE
Taylor Swift,"sometimes healing doesn’t look like peace — it looks like late nights, old journals, and finally telling your side of the story
",FALSE
"Tyler, the Creator",why do apples taste better when you eat them dramatically?,FALSE
Billie Eilish,Pain is good,TRUE
Ariana Grande,"""Is it bad that I sometimes wanna punch my 4-year-old brother in the face?""",TRUE
"Tyler, the Creator","""My therapist told me to stop tweeting and start journaling but now my journal is a Twitter thread""",TRUE
